id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
612586,Caprimulgus,macrurus,,Large-tailed Nightjar,Teus Luijendijk,Indonesia,"Kali Batu Putih, Halmahera",0.9281,127.5623,90,song,//www.xeno-canto.org/612586,//www.xeno-canto.org/612586/download,XC612586-19970731Large-tailedNightjarTLC17B013.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VLNULZJNSX/ffts/XC612586-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VLNULZJNSX/ffts/XC612586-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VLNULZJNSX/ffts/XC612586-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VLNULZJNSX/ffts/XC612586-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:36,?,1997-07-31,2021-01-03,"['Megapodius freycinet', 'Aegotheles crinifrons', 'Otus magicus']",,yes,no
612278,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Vietnam,"Dong Nai, Tân Phú, Đồng Nai",11.4232,107.4287,120,song,//www.xeno-canto.org/612278,//www.xeno-canto.org/612278/download,"XC612278-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #13.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612278-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612278-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612278-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612278-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,05:10,2018-03-26,2021-01-02,[''],,no,no
612276,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Malaysia,"Kuala Selangor, Selangor.",3.338,101.241,50,song,//www.xeno-canto.org/612276,//www.xeno-canto.org/612276/download,"XC612276-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #9.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612276-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612276-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612276-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612276-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,21:20,1983-01-12,2021-01-02,['Tyto javanica'],In big trees on Lighthouse Hill.,yes,no
612273,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Thailand,"Baan Maka Chalet, near Kaeng Krachan NP, Phetchaburi",13.6326,99.3604,140,song,//www.xeno-canto.org/612273,//www.xeno-canto.org/612273/download,"XC612273-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #7.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612273-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612273-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612273-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612273-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:50,05:45,2014-03-14,2021-01-02,"['Eudynamys scolopaceus', 'Centropus sinensis']","3 to 5 birds present in bamboo groves around lodge, at dawn.",yes,no
612272,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Thailand,"Baan Maka Chalet, near Kaeng Krachan NP, Phetchaburi",13.6326,99.3604,140,song,//www.xeno-canto.org/612272,//www.xeno-canto.org/612272/download,"XC612272-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #5.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612272-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612272-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612272-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612272-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,06:00,2014-03-13,2021-01-02,['Eudynamys scolopaceus'],"5 birds present in bamboo groves around lodge, at dawn.",yes,no
612271,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Thailand,"Baan Maka Chalet, near Kaeng Krachan NP, Phetchaburi",13.6326,99.3604,140,song,//www.xeno-canto.org/612271,//www.xeno-canto.org/612271/download,"XC612271-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #4.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612271-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612271-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612271-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612271-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,06:00,2014-03-13,2021-01-02,['Eudynamys scolopaceus'],"5 birds present in bamboo groves around lodge, at dawn.",yes,no
612270,Caprimulgus,macrurus,,Large-tailed Nightjar,Jelle Scharringa,Thailand,"Baan Maka Chalet, near Kaeng Krachan NP, Phetchaburi",13.6326,99.3604,140,song,//www.xeno-canto.org/612270,//www.xeno-canto.org/612270/download,"XC612270-Large-tailed Nightjar (Caprimulgus macrurus), ssp. bimaculatus #3.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612270-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612270-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612270-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/XC612270-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,06:00,2014-03-13,2021-01-02,['Eudynamys scolopaceus'],"5 birds present in bamboo groves around lodge, at dawn.",yes,no
601043,Caprimulgus,macrurus,,Large-tailed Nightjar,bryanW,Malaysia,"Klang (near  Pulau Indah), Selangor",2.89,101.2897,10,"call, song",//www.xeno-canto.org/601043,//www.xeno-canto.org/601043/download,XC601043-201107_large tailed nightjar_pulau indah.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MQZWTTPUAD/ffts/XC601043-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MQZWTTPUAD/ffts/XC601043-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MQZWTTPUAD/ffts/XC601043-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MQZWTTPUAD/ffts/XC601043-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,06:00,2020-11-07,2020-11-08,['Caprimulgus affinis'],"it was still dark, bird perched on a bare branch by the road. There is another large-tailed nightjar calling in the background together with Savanna nightjar.",yes,no
597124,Caprimulgus,macrurus,,Large-tailed Nightjar,Al-Kautsar Hidayanto,Malaysia,"Hutan Simpan Banjar Utara, Tanjung Karang, Selangor",3.4203,101.152,0,song,//www.xeno-canto.org/597124,//www.xeno-canto.org/597124/download,XC597124-20200323_070000_HSBU.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597124-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597124-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597124-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597124-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,07:00,2020-03-23,2020-10-23,['Rhipidura javanica'],,no,no
597045,Caprimulgus,macrurus,,Large-tailed Nightjar,Al-Kautsar Hidayanto,Malaysia,"Hutan Simpan Banjar Utara, Tanjung Karang, Selangor",3.4203,101.152,0,"adult, call, song",//www.xeno-canto.org/597045,//www.xeno-canto.org/597045/download,XC597045-20200328_060000_HSBU.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597045-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597045-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597045-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NHOKOPZSHJ/ffts/XC597045-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,06:00,2020-03-28,2020-10-22,[''],,no,no
575951,Caprimulgus,macrurus,,Large-tailed Nightjar,Okamoto Keita Sin,Singapore,"National University of Singapore, Singapore",1.2966,103.7764,25,Song?,//www.xeno-canto.org/575951,//www.xeno-canto.org/575951/download,"XC575951-Nightjar, Large-tailed_2020-02-23_2000_SG_NUS.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC575951-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC575951-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC575951-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZPYEHLWXXX/ffts/XC575951-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,20:00,2020-02-23,2020-07-15,[''],First bout of call is not the full length of the call (could not record the first few notes). Recorded at an urban area and there are echos from buildings.,yes,no
530323,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,Marc Anderson,Indonesia,"near Marandan Weser, Batanta",-0.8022,130.5743,30,song,//www.xeno-canto.org/530323,//www.xeno-canto.org/530323/download,XC530323-Nightjar_Large-tailed2_M3AK-426_Marwes_Bay_Beach_Forest_Lapping_PM2_24thAug19.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC530323-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC530323-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC530323-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC530323-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:57,18:30,2019-08-24,2020-02-26,[''],,yes,unknown
507734,Caprimulgus,macrurus,,Large-tailed Nightjar,Jean Roché,India,"Corbett NP, Uttaranchal",29.5334,78.9334,600,song,//www.xeno-canto.org/507734,//www.xeno-canto.org/507734/download,XC507734-Caprimulgus macrurus 4 India 1974 CD 1 tr 13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PFTKUDMPVV/ffts/XC507734-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PFTKUDMPVV/ffts/XC507734-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PFTKUDMPVV/ffts/XC507734-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PFTKUDMPVV/ffts/XC507734-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:38,?,1974-04-00,2019-11-22,[''],,unknown,no
501682,Caprimulgus,macrurus,albonotatus,Large-tailed Nightjar,Rajiv Kalsi,India,"Kalesar, Yamuna Nagar, Haryana",30.3575,77.5734,380,"call, song",//www.xeno-canto.org/501682,//www.xeno-canto.org/501682/download,XC501682-Large_tailed_Nightjar_2019_04_13d_KNP_LN.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QODSBKHZBS/ffts/XC501682-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QODSBKHZBS/ffts/XC501682-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QODSBKHZBS/ffts/XC501682-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QODSBKHZBS/ffts/XC501682-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:40,20:14,2019-04-13,2019-10-09,[''],"The Large-tailed nightjars were flying around, perching on tree branches and rocks and sitting on ground. Most of the birds called. There were more than seven birds in the area. Besides the focal birds, two more individuals can be heard calling in this recording.",yes,no
491974,Caprimulgus,macrurus,,Large-tailed Nightjar,Beatrix Saadi-Varchmin,Malaysia,"Kuala Tahan, Guesthouse besides the mosque, Jerantut District , Pahang",4.382,102.3999,80,song,//www.xeno-canto.org/491974,//www.xeno-canto.org/491974/download,"XC491974-LARGE-TAILED NIGHTJAR  24.2.05  Kuala Tahan, Guesthouse  4_04  Sp 1+2  II.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC491974-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC491974-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC491974-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC491974-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:06,04:04,2005-02-24,2019-08-10,[''],,no,no
472611,Caprimulgus,macrurus,,Large-tailed Nightjar,Peter Boesman,India,"Mohan area, Corbett NP buffer zone, Uttarakhand",29.54,79.1,,Song,//www.xeno-canto.org/472611,//www.xeno-canto.org/472611/download,XC472611-LS101672 Large-tailed NIghtjar song A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472611-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472611-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472611-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472611-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:42,19:00,2019-04-09,2019-05-10,[''],,unknown,unknown
472610,Caprimulgus,macrurus,,Large-tailed Nightjar,Peter Boesman,India,"Mohan area, Corbett NP buffer zone, Uttarakhand",29.54,79.1,,Song,//www.xeno-canto.org/472610,//www.xeno-canto.org/472610/download,XC472610-LS101671 Large-tailed Nightjar song A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472610-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472610-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472610-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC472610-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:00,19:00,2019-04-09,2019-05-10,[''],,unknown,unknown
439605,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,Marc Anderson,Australia,"Twelve Mile Lagoon, Lakefield National Park, Queensland",-15.1972,144.4289,50,song,//www.xeno-canto.org/439605,//www.xeno-canto.org/439605/download,XC439605-Nightjar_Large-tailed_SD563_Twelve_Mile_Camp_One_DawnA_4thSep18.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439605-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439605-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439605-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439605-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:32,05:00,2018-09-04,2018-10-22,"['Dendrocygna guttata', 'Elseyornis melanops']",,no,unknown
439118,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,Marc Anderson,Australia,"Coen River, Oyala Thumotang National Park, Queensland",-13.6313,142.5723,80,song,//www.xeno-canto.org/439118,//www.xeno-canto.org/439118/download,XC439118-Nightjar_Large-tailed_SD543_Coen_Night1a_31stAug18.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439118-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439118-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439118-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439118-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:57,05:30,2018-08-31,2018-10-18,[''],Typical chopping song,no,unknown
439116,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,Marc Anderson,Australia,"Coen River, Oyala Thumotang National Park, Queensland",-13.6313,142.5723,80,song,//www.xeno-canto.org/439116,//www.xeno-canto.org/439116/download,XC439116-Nightjar_Large-tailed_SD542_Coen_Night1b_31stAug18.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439116-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439116-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439116-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC439116-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:48,04:30,2018-08-31,2018-10-18,[''],Croaking song,no,unknown
426432,Caprimulgus,macrurus,,Large-tailed Nightjar,Peter Boesman,India,"Manas National Park, Assam",26.672638,91.00433100000001,,song,//www.xeno-canto.org/426432,//www.xeno-canto.org/426432/download,XC426432-LS108927 Large-tailed Nightjar song A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426432-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426432-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426432-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC426432-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:36,19:00,2018-04-09,2018-07-23,[''],,unknown,unknown
